"Im Demo Modus kann das letzte Zimmer nicht gelöscht werden","You can not remove the last room if the programm is in demo mode","NULL","NULL","In demo modus kan de laaste kamer niet gewist worden"
"Der Testbenutzer kann im Demo-Modus nicht verändert werden.","You can not change the test user in the demo mode.","NULL","NULL","De testgebruiker kan in demo modus niet aangepast worden."
"Es ist mindestens eine Übernachtung erforderlich","It is at least one overnight necessary","C'est au moins un nécessaire durant la nuit","NULL","Minstens één overnachting is noodzakelijk"
"Sie können den Belegungsplan betrachten,<br>indem Sie eine Auswahl treffen und auf [Belegungsplan anzeigen] klicken...","You can check the availability overview<br>if you click on [show availability overview]...","Vous pouvez vérifier la vue de disponibilité au mement que vous auvais choisit votre choix. Ensuite vous clique sur la vue de [Disponibilité]...","Võite vaadata broneerimisplaani,<br> kui teete valiku ja vajutate [Näita broneerimisplaani]","U kunt de beschikbaarheid bekijken,<br>wanneer u een keuze maakt en op [Reserveringsoverzicht tonen] klikt…","NULL"
"Belegungsplan für:","Availability overview for:","Disponibilité pour:","Broneerimine","Reserveringsoverzicht voor:","NULL"
"Belegungsplan anzeigen","Show availability overview","Montrer la vue de Disponibilité","Näita broneerimisplaani","Reserveringsoverzicht tonen","NULL"
"...oder eine automatische Suche durchführen, <br>indem sie unterstehende Daten angeben und [Suche starten] klicken.","...or you can fill out the form below and click on [start search].","ou compléter une recherche automatiquement et vous complitez la form ci desous et cliqueter desus [commencez la recherche].","...või täitke ankeet (otsingu väljad) ja vajutage nuppu [Otsing].","...of een automatische zoekopdracht uitvoeren,<br>wanneer u navolgende gegevens invuld en op [Zoeken starten] klikt.","NULL"
"Jahr","Year","Année","Aasta","Jaar","NULL"
"Monat","Month","Mois","Kuu","Maand","NULL"
"belegt","occupied","occupé","hõivatud","gereserveerd","NULL"
"Suchformular öffnen","open search form","Ouvrez le formular de recherche","Ava ankeet","Zoekformulier openen","NULL"
"Jahresübersicht öffnen","open overview for one year","disponibilités sur l´année","ava aasta ülevaade","Jaaroverzicht openen","NULL"
"frei","available","libre","vaba","vrij","NULL"
"Anfrage","Reservation","Réservation","Broneering","Reservering","NULL"
"von","from","de","alates","van","NULL"
"Januar","january","janvier","jaanuar","januari","NULL"
"Februar","februar","février","veebruar","februari","NULL"
"März","march","mars","märts","maart","NULL"
"April","april","avril","aprill","april","NULL"
"Mai","may","mai","mai","mei","NULL"
"Juni","june","juin","juuni","juni","NULL"
"Juli","july","juillet","juuli","juli","NULL"
"August","august","août","august","augustus","NULL"
"September","september","septembre","september","september","NULL"
"Oktober","october","octobre","oktoober","oktober","NULL"
"November","november","novembre","november","november","NULL"
"Dezember","december","décembre","detsember","december","NULL"
"bis","to","au","kuni","tot","NULL"
"Anfrage absenden...","send reservation","Envoi de réservation...","Saada broneering","Reservering versturen","NULL"
"Anfrage per E-Mail","send request with e-mail","Renseignement par e-mail","Lisainformatsioon e-maili teel","Aanvraag per E-Mail","NULL"
"<p>Das gewählte Monat ist bereits abgelaufen!</p><p>Bitte korrigieren Sie Ihre Anfrage!</p>","<p>The selected month is expired!</p><p>Please select a correct one!</p>","<p>le mois choisi est déjà passé</p><p>s&acute;il vous plaît choisissez un mois correct</p>","valitud kuu on mõõdas! </p><p> Palun parandage oma päring","<p>De gekozen maand ligt in het verleden!</p><p>Uw aanvraag a.u.b. aanpassen!</p>","NULL"
"Das gewählte Datum ist bereits abgelaufen.","The selected date already ran off.","La date choisie a coulé déjà.","NULL","De gekozen datum ligt in het verleden."
"Belegungsplan","Availability overview","Disponibilité des chambres","Broneerimisplaan","Reserveringsoverzicht","NULL"
"zurück","back","retour","tagasi","terug","NULL"
"weiter","next","suivant","edasi","verder","NULL"
"Name","Name","Nom","Nimi","Naam","NULL"
"E-Mail-Adresse","E-mail-address","Adresse e-mail","E-mail","E-Mailadres","NULL"
"Telefonnummer","Telefon number","Numero de téléphone","Telefon","Telefoonnummer","NULL"
"Faxnummer","Fax number","Numero de fax","Faks","Faxnummer","NULL"
"Ihre Nachricht","Your message","Votre message","Teie teade","Uw bericht","NULL"
"Die mit * gekennzeichneten Felder müssen ausgefüllt werden!","The fields with &acute;*&acute; must be filled in!","Les champs  marqués d&acute;une *  doivent être remplis!","Tärniga (*) tähistatud väljade täitmine on kohustuslik","De met * gemarkeerde velden moeten ingevuld worden!","NULL"
"Absenden","send","envoyer","saada","versturen","NULL"
"Zurücksetzen","clear fields","annuler","tühjenda väljad","terugzetten","NULL"
"Bitte geben Sie Ihren Namen ein!","Please fill in your name!","S´il vous plaît écrivez votre nom!","palun sisestage oma nimi","Uw naam invullen a.u.b.!","NULL"
"Telefon","Telefon","Téléphone","Telefon","Telefoon","NULL"
"MO","MO","LU","E","MA","NULL"
"DI","TU","MA","T","DI","NULL"
"MI","WE","ME","K","WO","NULL"
"DO","TH","JE","N","DO","NULL"
"FR","FR","VE","R","VR","NULL"
"SA","SA","SA","L","ZA","NULL"
"SO","SU","DI","P","ZO","NULL"
"Montag","Monday","NULL","NULL","Maandag","NULL"
"Dienstag","Tuesday","NULL","NULL","Dinsdag","NULL"
"Mittwoch","Wednesday","NULL","NULL","Woensdag","NULL"
"Donnerstag","Thusday","NULL","NULL","Donderdag","NULL"
"Freitag","Friday","NULL","NULL","Vrijdag","NULL"
"Samstag","Saturday","NULL","NULL","Zaterdag","NULL"
"Sonntag","Sunday","NULL","NULL","Zondag","NULL"
"Das Reservierungs-Datum wurde nicht korrekt angegeben!","The date is not correct!","La date de réservation nétout;était pas correct!","kuupäev pole õige!","De reserveringsdatum is niet korrect aangegeven!","NULL"
"Bitte korrigieren Sie das Datum Ihrer Anfrage!","Please fill in the correct date!","S´il vous plaît corrigez la date de réservation!","Palun parandage kuupäevad","De datum in uw aanvraag a.u.b. korrigeren!","NULL"
"Suchanfrage für:","You ask for:","Vous demandez","Otsing kellele: ","Zoekopdracht voor:","NULL"
"Erwachsene","Adults","Adultes","Täiskasvanud","Volwassene","NULL"
"Kinder","Children","Enfants","Lapsed","Kinderen","NULL"
"Zimmer","Rooms","Salles","Tuba","Kamers","NULL"
"Leider haben wir nicht mehr genug Zimmer für","Unfortunately we don't have enough rooms for ","Malheureusement, nous avons pas assez de chambre libre","Kahjuks pole meil piisavalt tube","Helaas hebben we niet meer voldoende kamers voor","NULL"
"Erwachsene im gewünschten Zeitraum frei.","adults in the desired period.","adultes au cours de la période souhaitée libre.","Täiskasvanud/ Täiskasvanutele antud ajavahemikul vaba","volwassene voor de aangegeven periode vrij.","NULL"
"Kinder im gewünschten Zeitraum frei.","children in the desired period.","enfants au cours de la période souhaitée libre.","Lapsed/ Lastele antud ajavahemikul vaba","kinderen voor de aangegeven periode vrij","NULL"
"Leider haben wir nicht mehr genug Zimmer im gewünschten Zeitraum frei.","Unfortunately we do not have any longer enough rooms in the desired period freely.","Malheureusement, nous avons plus de chambres libre au cours de la periode souhaitée.","Kahjuks pole meil soovitud ajavahemikul piisavalt vabu kohti","Voor de aangegeven periode zijn er helaas niet voldoende kamers vrij.","NULL"
"Folgende Zimmer sind im gewünschten Zeitraum noch frei:","The following rooms are still free in the desired period:","Les places suivantes sont encore libres au cours de la période souhaitée:","Soovitud ajavahemikul on vabad järgnevad toad: ","De volgende kamers zijn in de aangegeven periode nog vrij:","NULL"
"Bitte wählen Sie das gewünschte Zimmer aus und klicken Sie auf [Reservierung starten], <br> um eine Reservierungsanfrage für das gewünschte Zimmer abzusenden.","Please select the desired room and click on [start reservation], in order to mail a reservation inquiry for the desired room.","Veuillez choisir la salle désirée et cliquez [sur lénvoi de reservation], afin afin d`expédier une enquête de réservation pour la salle désirée.","Palun valige soovitud tuba ja broneerimiseks vajutage [broneeri].","Selecteer de gewenste kamer en klik op [Reservering starten], <br>om een reserveringsopdracht voor de aangegeven kamer te versturen.","NULL"
"Reservierung starten...","start reservation...","envoi de reservation..."," broneeri","Reservering starten...","NULL"
"Bitte wiederholen sie die Suche mit geänderten Anforderungen <br> oder wählen Sie aus dem Belegungsplan den gewünschten Zeitraum aus.","Please repeat the search with changed requirements or select from the plan the desired period.","Veuillez répétez la recherche avec de conditions changées.Ou vou chosiser sur la vue de Dispossibilite le plan de la periode desiree`.","Palun muutke otsingus andmed <br> või valige broneerimsplaanist soovitud ajavahemik","De zoekopdracht herhalen met de aangepaste wensen<br>of kies op het reserveringsoverzicht de gewenste periode.","NULL"
"Suche wiederholen","repeat search","répéter une recherche","korrata otsingut","Zoekopdracht herhalen","NULL"
"Anzahl der","Number of  ","Nombre des ","Arvud","Aantal","NULL"
"Anzahl Erwachsene","Number of adults ","Nombre d&acute;adultes ","täiskasvanute arv","Aantal volwassenen","NULL"
"Anzahl Kinder","Number of children ","Nombre d&acute;enfants ","laste arv","Aantal kinderen","NULL"
"Suche starten...","start search...","commencez la recherche...","alusta otsingut","Zoeken starten","NULL"
"Jahresübersicht","yearly","disponibilités sur l&acute;année","aasta ülevaade","Jaaroverzicht","NULL"
"Monatsübersicht","monthly","disponibilités sur quatre mois","kuu ülevaade","Maandoverzicht","NULL"
"Gesamtübersicht","show all","NULL","NULL","NULL","NULL"
"ein Jahr zurück","one year back","retourner un an","eelmine aasta","een jaar terug","NULL"
"ein Jahr weiter","next year","année suivante","järgmine aasta","een jaar vooruit","NULL"
"Zu dieser Zeit ist es belegt!","It is occupied at this date!","à cette période s`est occupé!","antud ajal hõivatud","voor deze datum reeds gereserveerd","NULL"
"Reservierungs-Anfrage für","Ask for","Enquête de réservation","Päring","Reserveringsaanvraag voor","NULL"
"Wir benötigen noch folgende Daten von Ihnen","We need some information about you","voire besaindes doneès priveè","Meil on vaja ka järgnevaid andmeid","Volgende gegevens hebben we nog van u nodig","NULL"
"Anrede","Form of address","Discours"," ","Aanspreekvorm","NULL"
"Familie","Family","Famille","Perekond","Familie","NULL"
"Frau","Miss","Madame","Pr","Mevr.","NULL"
"Herr","Mister","Monsieur","Hr","Dhr.","NULL"
"Firma","Company","Firme","Firma","Bedrijf","NULL"
"Vorname","First name","Prénom","Eesnimi","Voornaam","NULL"
"Nachname","Last name","Nom","Perekonnanimi","Achternaam","NULL"
"Straße/Hausnummer","Street address/house number","Rue/numéro","Postiaadress","Straat/huisnummer","NULL"
"PLZ","Post code","Code postal","Postiindeks","Postcode","NULL"
"Ort","City","Ville","Pinn","Woonplaats","NULL"
"Land","Country","État","Riik","Land","NULL"
"Anmerkungen/Fragen","Questions/annotations","commentaire/question","Märkused/küsimused","Opmerkingen/vragen","NULL"
"Anzahl Kinder unter","Number of children not older than","Nombre d&acute;enfants jusqu&acute;au","laste arv alla ","Aantal kinderen onder","NULL"
"Jahren.","years.","ans.","aasta","jaar.","NULL"
"Hinweis: Es handelt sich hierbei um eine Reservierungs-Anfrage.","Note: You can only send a reservation request.","Remarque: c&acute;est une demande de réservation.","NB! See on broneerimispäring","Let op: hier kunt u alleen een reserveringsaanvraag versturen.","NULL"
"Der Vermieter wird sich mit Ihnen in Verbindung setzen um gegebenenfalls die Reservierung zu bestätigen.","The landlord will contact you soon as possible to confirm the reservation.","Le propriétaire vous contactera pour confirmer la réservation.","Broneeringu kinnitamiseks võtab administraator Teiega ühendust.","De verhuurder zal met u zo spoedig mogelijk kontakt opnemen om de reservering te bevestigen.","NULL"
"Sie haben eine Anfrage für","You have asked for","Vous avez une demande pour","Olete teinud päringu","U heeft een aanvraag voor","NULL"
"Zimmer gestellt, jedoch nur","rooms, but you have just","les salles, mais vous avez juste ","tubadele, kuid ainult","kamers gemaakt, maar u heeft maar","NULL"
"Zimmer ausgewählt. Bitte korrigieren Sie Ihre Anfrage!","rooms selected. Please correct your selection.","les chambre est choisi.  Veuillez corriger votre choix.","valinud toad. Palun täpsustage oma päringut!","kamers geselecteerd. Kunt u de aanvraag a.u.b. korrigeren!","NULL"
"Danke für Ihre Anfrage!","Thank you for your booking request!","Merci pour votre demande!","Täname päringu eest!","Hartelijk bedankt voor uw aanvraag!","NULL"
"Der Vermieter wurde über Ihre Reservierungs-Anfrage verständigt, und wird sich mit Ihnen in Verbindung setzen.","The owner got informed of your booking request, he/she/they will contact you.","Le propriétaire était informé de votre demande, Monsieur/Madam vont vous contactez.","Päring on edastatud administraatorile, kes võtab Teiega ühendust! ","De verhuurder wordt van uw aanvraag op de hoogte gesteld en zal met u kontakt opnemen.","NULL"
"Leider haben wir nicht mehr genug ","Sorry, we don't have enough ","Malheureusement, nous n'avons plus assez ","Kahjuks pole meil piisavalt","Helaas hebben we niet meer voldoende","NULL"
"für","for","pour"," ","voor","NULL"
"im gewünschten Zeitraum frei.","in the desired period.","au cours de la période souhaitée librement.","soovitud ajavahemikul vaba","in aangegeven periode vrij.","NULL"
"Freie","Search free","Inoccupé","vaba","Beschikbare","NULL"
"im gewünschten Zeitraum","in the desired period","au cours de la période souhaitée","soovitud ajavahemikul","voor de aangegeven periode","NULL"
"Bitte wählen Sie die gewünschten","Please select the desired","Veuillez choisir les souhaités","palun valige ajavahemik","Kies a.u.b. de gewenste","NULL"
"aus"," "," "," ","uit","NULL"
"Bitte wählen Sie das gewünschte","Please select the desired","Veuillez choisir les souhaités","palun valige soovitud","Kies a.u.b. de gewenste","NULL"
"suchen"," ","rechercher","Otsi","zoeken","NULL"
"Bitte beachten Sie, dass die Reservierung nur mit Bestätigung des Vermieters gültig ist.","Please note that the reservation is only valid with a confirmation.","Veuillez considérer que la réservation n'est valable qu'avec la confirmation du propriétaire.","NB! Broneering ei kehti ilma hotelli kinnituseta! ","Let op: uw reservering is pas definietief nadat u een bevestiging van de verhuurder ontvangen heeft.","NULL"
"Ansicht für","overview for","Disponibilite´pour","Vaade","Overzicht voor","NULL"
"Bitte geben Sie den Vornamen ein!","Please fill in the first name!","Veullez ajouter votre presnom s´il vous plait","Palun sisestage oma eesnimi!","Voornaam a.u.b. invullen!","NULL"
"Bitte geben Sie den Nachnamen ein!","Please fill in the surname!","Ecrivez votre nom s´il vous plait"," Palun sisestage oma perekonnanimi!","Achternaam a.u.b. invullen!","NULL"
"Bitte geben Sie die Straße und Hausnummer ein!","Please fill in the street address","Veuillez ajoutez la rue et le numero de la maison s´il vousplait","palun sisestage oma tänava nimi ja maja number!","Straat en huisnummer a.u.b. invullen!","NULL"
"Bitte geben Sie den Wohnort ein!","Please fill in your city!","Veuillez ajoutez votre domicile s´il vousplait","Palun sisestage oma elukoht ","Woonplaats a.u.b. invullen!","NULL"
"Bitte geben Sie ihre Postleitzahl ein!","Please fill in your post code!","Veuillez ajoutez votre poste postal s´il vousplait"," Palun sisestage oma postiindeks","Postcode a.u.b. invullen!","NULL"
"Bitte geben Sie ihre E-Mail-Adresse ein!","Please fill in your eMail address!","Veuillez ajoutez votre e-mail adress s´il vousplait","Palun sisestage oma e-maili aadress","E-Mailadres a.u.b. invullen!","NULL"
"Sie können diese Anfrage im Webinterface des Reservierungssystems bestätigen oder ablehnen","You can confirm or delete the booking request in the webinterface","Vous pouvez confirmez ou vous pouvez annuler votre demande de request en ligne","Saate kinnitada või kustutada päringu veebi-interfacesis","U kunt deze reserveringsaanvraag in de webinterface van het reserveringssystem bevestigen of afwijzen","NULL"
"Buchungsanfrage aus dem Rezervi Buchungssystem","Booking request from the Rezervi booking system","Demande de request du reserve system","Broneerimispäring Rezervi broneerimissüsteemist","Reserveringsaanvraag vanuit het Rezervi Reserveringssysteem","NULL"
"Anfragetext","text of the request","Texte d'enquête, ","NULL","Aanvraag tekst","NULL"
"Die Anfrage wurde in englischer Sprache gestellt","The booking request was done in English","Votre demande etout fait en anglais","See päring tehti inglise keeles","De aanvraag is in het engels gemaakt","NULL"
"Die Anfrage wurde in französischer Sprache gestellt","The booking request was done in French","Votre demande etout fait en francais"," See päring tehti prantsuse keeles ","De aanvraag is in het frans gemaakt","NULL"
"Die Anfrage wurde in italienischer Sprache gestellt","The booking request was done in Italian","Votre demande etout fait en Italy"," See päring tehti itaalia keeles ","De aanvraag is in het italiaans gemaakt","NULL"
"Die Anfrage wurde in spanischer Sprache gestellt","The booking request was done in Spanish","Votre demande etout fait en Espanol"," See päring tehti hispaania keeles ","De aanvraag is in het spaans gemaakt","NULL"
"Die Anfrage wurde in estnischer Sprache gestellt","The booking request was done in Estonian","Votre demande etout fait en Estonian"," See päring tehti eesti keeles ","De aanvraag is in het estoniaans gemaakt","NULL"
"Die Anfrage wurde in deutscher Sprache gestellt","The booking request was done in German","Votre demande etout fait en Allemanque"," See päring tehti saksa keeles ","De aanvraag is in het duits gemaakt","NULL"
"Buchungsanfrage von","Booking request from","Request de demande de","Broneerimispäring kellelt","Reserveringsaanvraag van","NULL"
"Adresse","address","Adresse","Aadress","Adres","NULL"
"Informationen über den Gast","Information about your guest","NULL","NULL","Informatie over uw gast","NULL"
"Anmerkungen","Remarks","NULL","NULL","Opmerkingen","NULL"
"Bitte Browser schließen und neu anmelden - Passwortprüfung fehlgeschlagen!","Please close your browser and try to login again - the password is not correct!","NULL","NULL","Browser afsluiten en opnieuw aanmelden - het paswoord is niet korrect!","NULL"
"Reservierungsanfrage bestätigen","confirm booking request","NULL","NULL","Reserveringsaanvraag bevestigen","NULL"
"wurde erfolgreich als","is successful registered as","NULL","NULL","is met succes","NULL"
"in den Reservierungsplan aufgenommen","in the availability overview","NULL","NULL","in het reserveringsoverzicht opgenomen","NULL"
"Die folgende Mitteilung wird per E-Mail an Ihren Gast gesendet. Sie haben hier die Möglichkeiten noch Korrekturen vorzunehmen","The following mail will be send to your guest. If you like you can do some changes","NULL","NULL","De volgende tekst zal per e-mail uw gast toegestuurd worden. Indien nodig kunt u hier nog wijzigingen aanbrengen.","NULL"
"Betreff","Subject","NULL","NULL","Onderwerp","NULL"
"Text","Text","NULL","NULL","Tekst","NULL"
"Reservierungsanfragen von Gästen löschen","Delete booking requests","NULL","NULL","Reserveringsaanvragen van gasten wissen","NULL"
"Der Gast wurde aus der Datenbank entfernt","The guest was removed from the database.","NULL","NULL","De gast is in de datenbank gewist","NULL"
"Der Gast kann nicht entfernt werden, es sind weitere Belegungen/Reservierungen für diesen Gast eingetragen","You can't delete this guest, because there are reservations for this guest in the database","NULL","NULL","De gast kan niet gewist worden, daar nog enkele boekingen/reserveringen voor deze gast opgenomen zijn","NULL"
"Die Reservierungsanfrage","The booking request","NULL","NULL","De reserveringsaanvraag","NULL"
"wurde erfolgreich entfernt","is deleted successful","NULL","NULL","is met succes afgezegt","NULL"
"Hauptmenü","main menu","NULL","NULL","Hoofdmenu","NULL"
"Der Gast wurde per E-Mail verständigt","The guest is informed successful","NULL","NULL","De gast is per e-mail op de hoogte gebracht","NULL"
"Anfrage wirklich löschen?","Do you really want to delete the booking request?","NULL","NULL","De aanvraag daadwerkelijk afwijzen?","NULL"
"Reservierungsanfragen von Gästen bestätigen/löschen","Confirm or delete booking requests","NULL","NULL","Reserveringsaanvragen van gasten bewerken","NULL"
"Hier sehen Sie die Liste mit noch nicht bestätigten bzw. gelöschten Reservierungsanfragen.","This is a list of unworked booking requests.","NULL","NULL","Overzicht van nog te bevestigen en/of af te wijzen reserveringsaanvragen.","NULL"
"Falls Sie eine Reservierungsanfrage bestätigen wird diese als belegt im Reservierungsplan eingetragen, der Gast wird darüber nur informiert wenn die automatischen E-Mails aktiviert wurden.","If you confirm a booking request it will be saved in the database. If you have activated the automatical eMail answers, the guest will be informed about this.","NULL","NULL","Indien u een reserveringsaanvraag bevestigd, wordt deze als gereserveerd in het reserveringsoverzicht opgenomen. De gast zal alleen geinformeerd worden, wanneer automatische e-mails geactiveerd is.","NULL"
"Bei Löschung einer Reservierungsanfrage bleiben die Informationen des Gastes in der Datenbank erhalten, wollen Sie auch den Gast löschen, bestätigen Sie dies bitte mit dem entsprechenden Feld.","If you delete the booking request the information about the guest will be remained in the database. If you want to delete the guest you have to check the correct field for this.","NULL","NULL","Wanneer een reserveringsaanvraag gewist wordt, blijven de gegevens van de gast in de datenbank voorhanden. Wanneer ook de gast verwijderd moet worden, dient u het daarvoor bestemde veld te markeren.","NULL"
"Ein Gast kann nur gelöscht werden, falls es keine anderen Reservierungen für diesen Gast gibt.","You can delete a guest if there are no other reservations in the database","NULL","NULL","Een gast kan alleen gewist worden, wanneer er voor deze gast geen reseveringen meer voorhanden zijn.","NULL"
"Falls ein Gast in einer Buchung mehrere Zimmer reserviert hat, ist für jedes Zimmer einzeln die Anfrage zu bearbeiten.","If a guest have sent a request for more than one room you have to check the booking requests for every room","NULL","NULL","Wanneer een gast in één aanvraag meerdere kamers gereserveerd heeft, dient u voor iedere kamer de aanvraag apart te verwerken.","NULL"
"Anfrage von","booking request from","NULL","NULL","Aanvraag van","NULL"
"Zeitraum","period","NULL","NULL","periode","NULL"
"Personen","persons","NULL","NULL","personen","NULL"
"Gast aus Datenbank löschen","Delete guest from database","NULL","NULL","Gast uit de datenbank verwijderen","NULL"
"automatische Absage senden","send an automatical cancellation eMail","NULL","NULL","automatische afwijzing versturen","NULL"
"automatische Bestätigung senden","send an automatical confirmation eMail","NULL","NULL","automatische bevestiging versturen","NULL"
"Es sind keine offenen Reservierungsanfragen vorhanden","There are no unworked booking requests","NULL","NULL","Er zijn geen openstaande aanvragen meer aanwezig","NULL"
"Automatische Antworten bearbeiten, E-Mails an Ihre Gäste senden","Change the automatical answers, send eMails to your guests","NULL","NULL","Automatisch antwoorden bewerken, e-mails aan uw gasten sturen","NULL"
"Ändern Sie hier die automatischen E-Mail Antworten an Ihre Gäste oder benutzen Sie das Mail-Formular zum senden von E-Mails an Ihre Gäste.","Here you can change the texts of your automatical eMails or send eMails to your guest with a mail form.","NULL","NULL","Hier kunt u de tekst voor automatische e-mails aanpassen of kunt u e-mails m.b.v. het mail formulier aan uw gasten versturen.","NULL"
"Bitte achten Sie darauf, dass die automatischen E-Mail Antworten nur ausgeführt werden wenn Sie aktiviert wurden.","Please note that automatical eMails will not be send if it isn't activated","NULL","NULL","Let op: automatische e-mails worden alleen verstuurd wanneer u dat geactiveerd heeft.","NULL"
"Eine nicht-aktivierte E-Mail Antwort wird nicht an Ihren Gast gesendet - Sie müssen die Anfragen händisch beantworten!","If you do not activate the automatical eMails, you have to send your own eMails to your guests!","NULL","NULL","Wanneer automatische e-mails niet geactiveerd is, dient u de aanvragen handmatig te beantwoorden.","NULL"
"Buchungsbestätigung","booking confirmation","NULL","NULL","Reserveringsbevestiging","NULL"
"Ändern der E-Mail-Buchungsbestätigung die ein Gast erhält wenn Sie die Reservierung akzeptieren","Change the eMail notification for the guest if you give the confirmation of the booking request","NULL","NULL","De e-mail tekst aanpassen van een reserveringsbevestiging, welke verstuurd wordt wanneer u de reservering accepteerd","NULL"
"Ändern des Absagetextes einer Anfrage die ein Gast erhält wenn Sie die Reservierung ablehnen","Change the eMail notification for the guest if you cancel the booking request","NULL","NULL","De e-mail tekst aanpassen van een reserveringsbevestiging, welke verstuurd wordt wanneer u de reservering afwijst","NULL"
"Ändern des Bestätigungstextes einer Buchungsanfrage die ein Gast erhält wenn er eine Buchungsanfrage im Belegungsplan vornimmt","Change the eMail notification if the guest sends you a booking request","NULL","NULL","De e-mail tekst aanpassen wanneer de gast een reserveringsaanvraag verstuurd heeft","NULL"
"Buchungs-Absage","cancel a booking request","NULL","NULL","Rezerveringsafwijzing","NULL"
"Buchungs-Anfrage","sending a booking request","NULL","NULL","Reserveringsaanvraag","NULL"
"E-Mails senden","send eMails","NULL","NULL","E-mails versturen","NULL"
"E-Mails an ihre Gäste senden","Send eMails to your guests","NULL","NULL","E-mails aan uw gasten versturen","NULL"
"Ihre automatische E-Mail-Antwort wurde erfolgreich verändert.","Your eMail notification is changed successful","NULL","NULL","Uw automatisch e-mailantwoord is met success aangepast.","NULL"
"E-Mail an:","eMail to:","NULL","NULL","E-mail aan:","NULL"
"erfolgreich gesendet","successful","NULL","NULL","met success verzonden","NULL"
"Die E-Mails wurden versendet","The eMails are sended successful","NULL","NULL","De e-mails zijn verstuurd","NULL"
"Ändern der Buchungsbestätigung","Change the booking confirmation","NULL","NULL","Reserveringsbevestiging aanpassen","NULL"
"Ändern des Absagetextes einer Anfrage","Change the text of an cancelation of a booking request","NULL","NULL","Afwijzingstekst van een aanvraag aanpassen","NULL"
"Ändern des Bestätigungstextes einer Buchungsanfrage","Change the confirmation text of a booking request","NULL","NULL","Bevestigingstekst van een aanvraag aanpassen","NULL"
"Senden von E-Mails an Ihre Gäste","Send eMails to your guests","NULL","NULL","E-mails aan uw gasten versturen","NULL"
"Texte in Deutsch","Text in German","NULL","NULL","Tekst in het duits","NULL"
"Nach ihrer Anrede wird der Name des Gastes automatisch eingesetzt","After your form of address, the name of your guest will follow automatically","NULL","NULL","Na uw aanspreekvorm wordt de naam van uw gast automatisch ingevuld","NULL"
"Unterschrift","Your signature","NULL","NULL","Handtekening","NULL"
"Texte in Englisch","Texts in English","NULL","NULL","Tekst in het engels","NULL"
"Texte in Französisch","Texts in French","NULL","NULL","Tekst in het frans","NULL"
"Automatische Antwort aktiviert","Activate automatical eMail notification","NULL","NULL","Automatisch antwoorden activeren","NULL"
"ja","yes","NULL","NULL","ja","NULL"
"nein","no","NULL","NULL","nee","NULL"
"Falls sie bei dieser Option nein gewählt haben, werden keine automatischen Antworten an Ihre Gäste gesendet.","If you select 'no', no eMails will send to your guests.","NULL","NULL","Indien u bij deze optie 'nee' gekozen heeft, zullen er geen automatische antwoorden aan uw gasten verstuurd worden.","NULL"
"Sie müssen sich in diesem Falle selbst mit Ihren Gästen in Verbindung setzen.","You have to send your own eMail notifications to your guests.","NULL","NULL","U dient dan zelf contact op te nemen met uw gasten.","NULL"
"Texte ändern","change texts","NULL","NULL","Tekst aanpassen","NULL"
