"Im Demo Modus kann das letzte Zimmer nicht gelöscht werden","You can not remove the last room if the programm is in demo mode","NULL","NULL","In demo modus kan de laaste kamer niet gewist worden"
"Bitte wählen Sie die Gäste aus, an denen das E-Mail gesendet werden soll.","Please select the guests, which you want send eMails","NULL","NULL","Selekteer a.u.b. de gasten aan welke u een e-mail wilt versturen.","NULL"
"Wenn Sie mehrere auswählen wollen müssen Sie die [Strg] Taste gedrückt halten.","If you want to select more than one, you have to press the [Strg] key und select the guest with a mouse-click","NULL","NULL","Wanneer u meerdere gasten wilt selecteren dient u de [Ctrl] toets ingedrukt te houden en met de muis de gasten selecteren.","NULL"
"Benutzer bearbeiten","Change users","NULL","NULL","Gebruikers bewerken","NULL"
"Die mit [*] gekennzeichneten Felder müssen ausgefüllt werden!","The fields marked with [*] must filled in!","NULL","NULL","De met [*] gemarkeerde velden moeten ingevuld worden!","NULL"
"Bitte füllen Sie die untenstehenden Felder aus.","Please fill in the fields below.","NULL","NULL","Onderstaande velden a.u.b. invullen.","NULL"
"Benutzername","Username","NULL","NULL","Gebruikersnaam","NULL"
"Passwort","Password","NULL","NULL","Wachtwoord","NULL"
"Passwort wiederholen","Repeat password","NULL","NULL","Wachtwoord herhalen","NULL"
"Benutzerrechte","User rights","NULL","NULL","Gebruikersrechten","NULL"
"Benutzer","user","NULL","NULL","Gebruiker","NULL"
"Administrator","administrator","NULL","NULL","Administrator","NULL"
"Die Änderung wurde erfolgreich durchgeführt","The changings are successful","NULL","NULL","De wijzigingen zijn met succes opgeslagen","NULL"
"Bitte geben Sie den Benutzernamen ein!","Please fill in the user name!","NULL","NULL","Gebruikersnaam a.u.b. invullen!","NULL"
"Die beiden Passwörter stimmen nicht überein!","The two passwords are not identical!","NULL","NULL","De beide wachtwoordvelden zijn niet gelijk ingevuld!","NULL"
"Einen neuen Benutzer anlegen","Add a new user","NULL","NULL","Een nieuwe gebruiker aanmaken","NULL"
"Der Benutzer wurde hinzugefügt.","The user is added successful.","NULL","NULL","De gebruiker is met succes toegevoegd.","NULL"
"Löschung bestätigen","Confirm the removement","NULL","NULL","Wissen bevestigen","NULL"
"Der Benutzer wurde aus der Datenbank gelöscht!","The user is removed successful from the database!","NULL","NULL","De gebruiker is uit de datenbank gewist!","NULL"
"Folgende Benutzer werden aus der Datenbank entfernt","You are going to delete the following users from the database","NULL","NULL","Navolgende gebruikers zullen in de datenbank gewist worden","NULL"
"Nur die hier selektierten Benutzer werden gelöscht.","Only the selected users will be removed.","NULL","NULL","Alleen de hier geselecteerde gebruikers zullen gewist worden.","NULL"
"Entfernen Sie die Markierungen (mit [STRG] und Mausklick) wenn Benutzer nicht gelöscht werden sollen!","Remove the remarks of the user (with [Strg] and mouse klick) of that users that not should deleted.","NULL","NULL","Markeringen verwijderen ([Ctrl] toets samen met een muisklik gebruiken), wanneer een gebruiker toch niet gewist moet worden.","NULL"
"löschen","delete","NULL","NULL","wissen","NULL"
"Bitte wählen Sie den zu verändernden Benutzer aus","Please select the user that you will change","NULL","NULL","Selekteer de gebruiker welke u wilt aanpassen","NULL"
"Benutzer ändern","change user","NULL","NULL","Gebruiker bewerken","NULL"
"Benutzer löschen","delete user","NULL","NULL","Gebruiker wissen","NULL"
"Bitte wählen Sie den zu löschenden Benutzer aus","Please coose the users that you will delete","NULL","NULL","Selekteer de gebruiker welke u wilt wissen","NULL"
"Sie können mehrere Benutzer zugleich auswählen und löschen indem Sie die [STRG]-Taste gedrückt halten und auf die Benutzernamen klicken","You could delete more than one user if you press the [Strg] Key and klicking on the mouse button","NULL","NULL","U kunt meerdere gebruikers selecteren indien u de [Ctrl] toets ingedrukt houdt en met de muis op de gebruikersnamen klikt","NULL"
"Benutzer anlegen","add user","NULL","NULL","Gebruiker toevoegen","NULL"
"Klicken Sie auf den Button [Benutzer anlegen] um einen neuen Benutzer hinzuzufügen","Klick on the button 'add user' to add a new user for the webinterface","NULL","NULL","Klik op de knop [Gebruiker toevoegen] om een nieuwe gebruiker toetevoegen","NULL"
"Farb-Code","colour-code","NULL","NULL","Kleurcode","NULL"
"Farbe","colour","NULL","NULL","Kleur","NULL"
"Fenster schließen","close window","NULL","NULL","Venster sluiten","NULL"
"Alle Änderungen verwerfen und auf Standardwerte zurücksetzen?","Do you want to remove all changes and set the default values?","NULL","NULL","Alle aanpassingen verwijderen en naar de standaardwaardes terugzetten?","NULL"
"Hintergrund","background","NULL","NULL","Achtergrond","NULL"
"Schrift","font","NULL","NULL","Lettertype","NULL"
"Überschrift","heading","NULL","NULL","Titel","NULL"
"markierte Schrift","marked font","NULL","NULL","Lettertype voor markeringen","NULL"
"Button","button","NULL","NULL","Knop","NULL"
"Button rollover","rollover button","NULL","NULL","Knop rollover","NULL"
"Tabelle","table","NULL","NULL","Tabel","NULL"
"färbige Tabelle","table with colour","NULL","NULL","Kleurtabellen","NULL"
"Standardwerte setzen","set default values","NULL","NULL","Standaardwaardes terugzetten","NULL"
"Farbtabelle anzeigen","show colour table","NULL","NULL","Kleurentabel tonen","NULL"
"Ändern der Hintergrundfarbe","Change the background colour","NULL","NULL","Achtergrondkleur aanpassen","NULL"
"Ändern der Standard-Schrift (Farbe, Art, Größe, ...)","Change the default font (colour, size, ...)","NULL","NULL","Standaardlettertype aanpassen (kleur, grootte, ...)","NULL"
"Ändern der Überschriften (Farbe, Art, Größe, ...)","Change the headings (colour, size, ...)","NULL","NULL","Titels aanpassen (kleur, grootte, ...)","NULL"
"Ändern der markierten Schrift","Change the marked font","NULL","NULL","Lettertype voor markeringen aanpassen","NULL"
"Ändern des Buttons","Change the buttons","NULL","NULL","Knoppen aanpassen","NULL"
"Ändern des Buttons der angezeigt wird, wenn die Maus darüber bewegt wird","Change the buttons that will be shown if the cursor is on the button","NULL","NULL","Knoppen aanpassen wanneer met de muis over de knop heen bewogen wordt","NULL"
"Ändern der Tabelle (Hintergrundfarbe, Schriftfarbe, Rahmen, etc.)","Change the tables (background colour, border, ...)","NULL","NULL","Tabel aanpassen (achtergrondkleur, tekstkleur, randen, enz.)","NULL"
"Ändern der färbigen Tabellen","Change the coloured tables","NULL","NULL","Kleurtabellen aanpassen","NULL"
"Ändern der Farbe der belegt-Anzeige","Change the colour of the occupied marks","NULL","NULL","Kleur aanpassen voor gereserveerde markeringen","NULL"
"Ändern der Farbe der frei-Anzeige","Change the colour of the available marks","NULL","NULL","Kleur aanpassen voor vrij-markeringen","NULL"
"Ändern der Farbe der reserved-Anzeige","Change the colour of the reserved marks"
"Alle Änderungen werden auf die Rezervi-Standard-Werte zurückgesetzt.","All changes will be removed and the Rezervi default values will be set.","NULL","NULL","Alle aanpassing worden gewist en teruggezet naar de standaard Rezervi waardes.","NULL"
"Zeigt eine Tabelle mit Farbcodes an, die im Design verwendet werden können.","Shows a table with colour codes that you can use in the design.","NULL","NULL","Toont een tabel met kleurcodes, welke in het design gebruikt kunnen worden.","NULL"
"Design auf Standardwerte zurücksetzen","Set the default values of the design","NULL","NULL","Design naar de standaardwaardes terugzetten","NULL"
"Das Design wurde erfolgreich geändert","The design is changed successful","NULL","NULL","Het design is met success aangepast","NULL"
"Design bearbeiten","change the design","NULL","NULL","Design bewerken","NULL"
"Das Design des ausgewählen Elementes wurde erfolgreich geändert","The design of the selected element is changed successful","NULL","NULL","Het design van de geselecteerde elementen is met success bewerkt","NULL"
"Design für","Change design for","NULL","NULL","Design voor","NULL"
"bearbeiten"," ","NULL","NULL","bewerken","NULL"
"vorheriger Wert","value before","NULL","NULL","vorige waarde","NULL"
"Schriftart","Font","NULL","NULL","Lettertype","NULL"
"Schriftgrösse","Size of the font","NULL","NULL","Lettergrootte","NULL"
"Schriftstil","Style of the font","NULL","NULL","Tekst stijl","NULL"
"Schriftstärke","Thickness of the font","NULL","NULL","Dikte van de tekst","NULL"
"Schriftfarbe","Colour of the font","NULL","NULL","Tekst kleur","NULL"
"Textausrichtung","Alignment","NULL","NULL","Uitlijning","NULL"
"Rahmenstärke","Thickness of the border","NULL","NULL","Dikte van de randen","NULL"
"Rahmenfarbe","Colour of the border","NULL","NULL","Kleur van de randen","NULL"
"Hintergrundfarbe","Colour of the background","NULL","NULL","Achtergrondkleur","NULL"
"Höhe","Height","NULL","NULL","Hoogte","NULL"
"Breite","Width","NULL","NULL","Breedte","NULL"
"Design ändern","change design","NULL","NULL","Design aanpassen","NULL"
"Die Daten des Gastes wurden erfolgreich geändert","The guest is changed successful","NULL","NULL","De gegevens van de gast zijn met succes aangepast","NULL"
"Gast bearbeiten","change guest","NULL","NULL","Gast bewerken","NULL"
"Bitte überschreiben bzw. ergänzen Sie die Felder des Gastes den Sie ändern möchten","Please change the fields of the guest","NULL","NULL","De velden van de gast aanpassen/overschrijven","NULL"
"bevorzugte Sprache","Preferred language","NULL","NULL","Voorkeurs taal","NULL"
"Deutsch","German","NULL","NULL","Duits","NULL"
"Englisch","English","NULL","NULL","Engels","NULL"
"Französisch","French","NULL","NULL","Frans","NULL"
"Italienisch","Italian","NULL","NULL","Italiaans","NULL"
"Spanisch","Spanish","NULL","NULL","Spaans","NULL"
"Es liegen folgende Reservierungen für den Gast vor (aufsteigend sortiert)","Here are the reservations of your guest (the last at the top)","NULL","NULL","De gast heeft navolgende reserveringen (oplopend gesorteerd)","NULL"
"Reservierung von","Reservation from","NULL","NULL","Reservering van","NULL"
"Der Gast kann nicht gelöscht werden, da Reservierungen oder offene Reservierungsanfragen für diesen Gast eingetragen sind","You can not delete the guest because there are unworked reservations for this guest","NULL","NULL","De gast kan niet gewist worden, omdat er nog reserveringen of openstaande reserveringsaanvragen voor deze gast opgenomen zijn","NULL"
"Reservierungs-Informationen","reservation information","NULL","NULL","Reserverings informatie","NULL"
"Der Gast wurde erfolgreich aus der Gästeliste entfernt","The guest is removed successful from the guest list","NULL","NULL","De gast is met succes uit de gastenlijst verwijderd","NULL"
"Gast wirklich löschen?","Do you really want to delete the guest?","NULL","NULL","Wilt u de gast werkelijk wissen?","NULL"
"Gästeliste anzeigen und bearbeiten","Show and change the guest list","NULL","NULL","Gastenlijst tonen en bewerken","NULL"
"exportieren","export","NULL","NULL","exporteren","NULL"
"Der Gast wurde neu angelegt und erfolgreich in der Datenbank gespeichert","The guest is stored in the database successful","NULL","NULL","De gast is aangelegd en met succes in de datenbank opgenomen","NULL"
"Ein Gast mit denselben Daten existiert bereits, die Daten wurden ergänzt bzw. korregiert","A guest with the same data are already exists, this guest was changed","NULL","NULL","Er bestaat al een gast met dezelfde gegevens, de gegevens zijn geactualiseerd","NULL"
"einen weiteren Gast anlegen","add another guest","NULL","NULL","een andere gast toevoegen","NULL"
"Anlegen eines neuen Gastes","Add a new guest","NULL","NULL","Een nieuwe gast toevoegen","NULL"
"Gast anlegen","add guest","NULL","NULL","gast toevoegen","NULL"
"Bitte wählen Sie aus, welche Daten der Gäste angezeigt werden sollen","Please select the data that will be shown","NULL","NULL","Selecteer de gegevens welke bij de gast getoont worden","NULL"
"Gästeliste anzeigen","show guest list","NULL","NULL","Gastenlijst tonen","NULL"
"neuen Gast anlegen","add new guest","NULL","NULL","Een nieuwe gast toevoegen","NULL"
"Gäste-Information","guest informations","NULL","NULL","Informatie over de gast","NULL"
"Das Reservierungs-Datum wurde nicht korrekt angegeben","The reservation date is not correct","NULL","NULL","De reserveringsdatum is niet korrect aangegeven!","NULL"
"Bitte korrigieren Sie das Datum","Please correct the date","NULL","NULL","Datum a.u.b. aanpassen","NULL"
"Zu diesem Datum existiert bereits eine Reservierung oder die Reservierungen überschneiden sich","For this date a reservation already exist or the reservations overlap each other","NULL","NULL","Voor de aangegeven datum bestaat inmiddels al een reservering of de reserveringen overlappen zich","NULL"
"Bitte korrigieren Sie das Datum oder löschen Sie die bereits vorhandene Reservierung","Please correct the date or delete the overlapping reservation","NULL","NULL","Datum a.u.b. aanpassen, of de overlappende reservering wissen","NULL"
"Reservierungs-Änderung für","Changing reservation for","NULL","NULL","Reserverings wijziging voor","NULL"
"Status","state","NULL","NULL","status","NULL"
"reserviert","reserved","NULL","NULL","gereserveerd","NULL"
"Bitte geben Sie hier den Gast ein, oder wählen Sie einen bereits vorhanden Gast aus der Liste aus","Please enter the data of your guest or select an already existing guest from the list","NULL","NULL","A.u.b. de gegevens van de gast invullen, of selecteer een bestaande gast uit de lijst","NULL"
"Gast auswählen","select guest","NULL","NULL","gast selecteren","NULL"
"neuer Gast","new guest","NULL","NULL","nieuwe gast","NULL"
"neuer Gast/Gast ändern","new guest/change guest","NULL","NULL","nieuwe gast / gast aanpassen","NULL"
"Bitte geben Sie hier die Anzahl der Gäste für die Reservierung/Belegung ein","Please fill in the number of guests for the reservation","NULL","NULL","Vul hier het aantal gasten voor de reservering in","NULL"
"Jahren","years","NULL","NULL","jaar","NULL"
"Folgende Reservierungen werden gelöscht","The following reservations will be removed","NULL","NULL","Navolgende reserveringen zullen gewist worden","NULL"
"abbrechen","cancel","NULL","NULL","annuleren","NULL"
"Die Reservierung/Belegung wurde erfolgreich geändert","The reservation is changed successful","NULL","NULL","De reservering is met succes aangepast","NULL"
"eingetragenes Datum","date","NULL","NULL","opgegeven datum","NULL"
"Gast","guest","NULL","NULL","gast","NULL"
"Die Reservierungen/Belegungen im geforderten Zeitraum wurden erfolgreich entfernt","The reservations in the selected period is removed successful","NULL","NULL","De reserveringen voor de aangegeven periode zijn met succes verwijderd","NULL"
"Ansicht wählen","Select overview","NULL","NULL","Selecteer overzicht","NULL"
"Reservierung ändern","change reservation","NULL","NULL","reservering aanpassen","NULL"
"Gäste-Info","guest information","NULL","NULL","Informatie over de gast","NULL"
"Name der Unterkunft in Deutsch","Name of the accommodation in German","NULL","NULL","Naam van het verblijf in het Duits","NULL"
"Name der Unterkunft in Englisch","Name of the accommodation in English","NULL","NULL","Naam van het verblijf in het Engels","NULL"
"Name der Unterkunft in Französisch","Name of the accommodation in French","NULL","NULL","Naam van het verblijf in het Frans","NULL"
"Land auf Deutsch","State in German","NULL","NULL","Land in het Duits","NULL"
"Land auf Englisch","State in English","NULL","NULL","Land in het Engels","NULL"
"Land auf Italienisch","State in Italian","NULL","NULL","Land in het Italiaans","NULL"
"Land auf Französisch","State in French","NULL","NULL","Land in het Frans","NULL"
"Bis zu welchem Alter erhalten Kinder in Ihrer Unterkunft eine Ermäßigung","Up to which age children will get a reduced rate","NULL","NULL","Tot welke leeftijd geldt er voor kinderen een aangepast tarief","NULL"
"Unterkunft ändern","change accommodation","NULL","NULL","verblijf aanpassen","NULL"
"Die Daten zu Ihrer Unterkunft wurden geändert.","Your accommodation is changed successful.","NULL","NULL","De gegevens m.b.t. verblijf zijn met succes aangepast.","NULL"
"Zimmer/Appartement/Wohnung/etc. bearbeiten","Change rooms","NULL","NULL","Kamer/appartement bewerken","NULL"
"Bitte wählen Sie das zu verändernde Zimmer/Appartement/Wohnung/etc. aus","Please select the room to change","NULL","NULL","Selecteer kamer/appartement welke aangepast moet worden","NULL"
"Zimmer ändern","change room","NULL","NULL","kamer aanpassen","NULL"
"Zimmer/Appartement/Wohnung/etc. löschen","Delete rooms","NULL","NULL","Kamer/appartement wissen","NULL"
"Bitte wählen Sie die zu löschenden Zimmer/Appartement/Wohnung/etc. aus","Please select the rooms you want to remove","NULL","NULL","Selecteer de kamers/appartementen welke u wilt wissen","NULL"
"Sie können mehrere Zimmer/Appartements/Wohnungen/etc. zugleich auswählen und löschen indem Sie die [STRG]-Taste gedrückt halten und auf die Bezeichnung klicken","You can delete more than one room by holding the [Strg] key down and klick on the room","NULL","NULL","Meerdere kamers/appartementen kunnen tegelijk gewist worden, wanneer u de [ctrl]-toets ingedrukt houden en de kamers/appartementen selecteerd","NULL"
"Zimmer löschen","delete room","NULL","NULL","kamer wissen","NULL"
"Zimmer/Appartement/Wohnung/etc. anlegen","add room","NULL","NULL","Kamer/appartement toevoegen","NULL"
"Zimmernummer (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Number of the room (e.g. 'A', '10' or 'room with balkony')","NULL","NULL","Kamernummer (b.v. Type A, Nr. 10, kamer met balkon, enz.)","NULL"
"Wird dieses Feld leer gelassen, wird die Standard-Sprache verwendet.","If you leave this field empty the default language will be used.","NULL","NULL","Wanneer dit veld niet ingevuld wordt, zal de standaard taal gebruikt worden","NULL"
"Zimmernummer in englisch (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Room number in English (e.g. 'A', '10' or 'room with balkony')","NULL","NULL","Kamernummer in het Engels (b.v. Type A, Nr. 10, kamer met balkon, enz.)","NULL"
"Zimmernummer in französisch (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Room number in French (e.g. 'A', '10' or 'room with balkony')","NULL","NULL","Kamernummer in het Frans (b.v. Type A, Nr. 10, kamer met balkon, enz.)","NULL"
"Anzahl der Betten für Erwachsene","Number of beds for adults","NULL","NULL","Aantal bedden voor volwasene","NULL"
"Anzahl der Betten für Kinder","Number of beds for children","NULL","NULL","Aantal bedden voor kinderen","NULL"
"Beschreibung in deutsch","Description in German","NULL","NULL","Beschrijving in het Duits","NULL"
"Preis","Price","NULL","NULL","Prijs","NULL"
"Die Änderung konnte nicht erfolgreich durchgeführt werden, versuchen sie es bitte nochmals","The changings are not successful, please try again","NULL","NULL","Wijzigingen uitgevoeren mislukt, probeer het a.u.b. opnieuw","NULL"
"Zimmer eintragen","add room","NULL","NULL","kamer toevoegen","NULL"
"Ein neues Zimmer/Appartement/Wohnung/etc. anlegen","Add a new room","NULL","NULL","Een nieuwe kamer/appartement toevoegen","NULL"
"Bitte geben Sie die Zimmernummer in deutsch ein!","Please fill in the room number in German","NULL","NULL","Kamernummer in het Duits aangeven!","NULL"
"Bitte geben Sie die Zimmerart in deutsch ein!","Please fill in the type of the room in German!","NULL","NULL","Kamertype in het Duits aangeven","NULL"
"Zimmereintragung ist gescheitert, bitte versuchen sie es erneut","Adding of the room was not successful, please try it again","NULL","NULL","Toevoegen van een kamer mislukt, probeer het a.u.b. opnieuw","NULL"
"Zimmer/Appartement/etc. erfolgreich eingetragen","The room is added successful","NULL","NULL","Kamer/appartement met succes toegevoegd","NULL"
"ein weiteres anlegen","add another one","NULL","NULL","een volgende toevoegen","NULL"
"Der/die/das Zimmer/Appartement/Wohnung/etc. wurde samt seinen Reservierungen aus der Datenbank gelöscht","The rooms and the reservations are deleted successful","NULL","NULL","De kamer / het appartement is inclusief reserveringen in de datenbank gewist","NULL"
"Löschung durchführen","do removement","NULL","NULL","wissen uitvoern","NULL"
"Folgende Zimmer/Appartements/Wohnungen/etc. werden aus der Datenbank entfernt","The following rooms will be removed from the database","NULL","NULL","Navolgende kamers/appartementen zullen in de datenbank gewist worden","NULL"
"Bitte beachten Sie, dass damit auch alle Reservierungen die diese(s) Zimmer/Appartement/Wohnung/etc. betreffen ebenfalls entfernt werden","All reservations for the rooms will also be removed","NULL","NULL","Let op: alle reserveringen m.b.t. tot deze kamer/appartement zullen ook gewist worden","NULL"
"Nur die hier selektierten Zimmer/Appartements/Wohnungen/etc. werden gelöscht.","Only the selected rooms will be removed.","NULL","NULL","Alleen de hier geselecteerde kamers/appartementen zullen gewist worden.","NULL"
"Entfernen Sie die Markierungen (mit [STRG] und Mausklick) die nicht gelöscht werden sollen!","Remove the remarks of the rooms that should not removed ([Strg] an mouseclick)","NULL","NULL","Markeringen verwijderen ([Ctrl] toets samen met een muisklik gebruiken), voor elke kamer/appartement welke niet gewist moet worden.","NULL"
"Willkommen auf der Wartungsseite","Welcome on the webinterface","NULL","NULL","Welkom in de Webinterface","NULL"
"ihres persönlichen Belegungsplanes","of your personal reservation map","NULL","NULL","van uw persoonlijk reserveringsoverzicht","NULL"
"und Ihrer Gästedatenbank Rezervi","and guest database Rezervi","NULL","NULL","en uw gasten datenbank van Rezervi","NULL"
"Der Benutzername und/oder das Passwort wurden falsch eingegeben, bitte wiederholen Sie Ihre Eingabe!","The username or the password are not correct, please try again!","NULL","NULL","Gebruikersnaam en/of wachtwoord is niet correct ingevuld, probeer het a.u.b. opnieuw!","NULL"
"Bitte melden Sie sich hier mit Ihrem Benutzernamen und Passwort an","Please login with your username and password","NULL","NULL","Aanmelden met uw gebruikersnaam en wachtwood","NULL"
"anmelden","login","NULL","NULL","aanmelden","NULL"
"Sie haben noch keinen Belegungs-/Reservierungsplan für Ihre Unterkunft?","You have no 'Rezervi' for your accommodation?","NULL","NULL","U heeft nog geen reserveringsoverzicht voor uw verblijf!","NULL"
"Klicken Sie hier um mehr Informationen zu erhalten!","Please klick here to get more information!","NULL","NULL","Klik hier voor meer informatie!","NULL"
"Bitte legen Sie als erstes ihre Zimmer/Appartements/etc. an, danach stehen Ihnen die weiteren Menüpunkte zur Verfügung","Please add at first your rooms. After that you will get more menu points","NULL","NULL","A.u.b. eerst een kamer/appartement toevoegen. Pas daarna zullen de andere menupunten zichtbaar worden.","NULL"
"Bitte geben Sie die Postleitzahl ein!","Please fill in the post code!","NULL","NULL","Postcode a.u.b. invullen!","NULL"
"Bitte geben Sie die E-Mail-Adresse ein!","Please fill in the eMail address!","NULL","NULL","E-Mailadres a.u.b. invullen!","NULL"
"Anfragen von Gästen als belegt bestätigen oder ablehnen","Confirm or delete booking requests","NULL","NULL","Aanvragen van gasten als gereserveerd bevestigen of afwijzen","NULL"
"Neue Reservierungen eingeben, Reservierungen bearbeiten oder löschen.","Add new reservations, change reservations or delete reservations","NULL","NULL","Nieuwe reservering toevoegen, reserveringen aanpassen of wissen","NULL"
"Gespeicherte Daten der Gäste bearbeiten oder abfragen (z. B. E-Mail-Adressen ausgeben)","Change your guests or show informations about your guests","NULL","NULL","Gegevens van de gast aanpassen of weergeven (b.v. e-mailadrers weergeven)","NULL"
"Neue Benutzer anlegen, ändern (z. B. Passwort) oder bestehende Benutzer löschen","Add new user or change/remove users","NULL","NULL","Nieuwe gebruiker toevoegen, reeds bestaande aanpassen (b.v. wachtwoord) of wissen","NULL"
"Diese Funktion ist nur für Administratoren verfügbar","This function is only for administrators","NULL","NULL","Deze funktie staat alleen administrators ter beschikking","NULL"
"Neue Zimmer/Appartements/Wohnung/etc. anlegen, löschen, oder bereits bestehende ändern","Add new rooms, remove or change rooms","NULL","NULL","Nieuwe kamer/appartement toevoegen, reeds bestaande aanpassen of wissen","NULL"
"Daten Ihrer Unterkunft ändern (z. B. E-Mail-Adresse)","Change the data of your accommodation (e.g. eMail address)","NULL","NULL","Gegevens m.b.t. verblijf aanpassen (b.v. e-mailadres)","NULL"
"Das Design Ihres persönlichen Reservierungsplanes ändern (z. B. Hintergrundfarbe)","Change the design of Rezervi (e.g. background colour)","NULL","NULL","Het design van uw persoonlijke reserveringsoverzicht wijzigen (b.v. achtergrondkleur)","NULL"
"Die automatischen E-Mail-Antworten an ihre Gäste ändern (z. B. Buchungsbestätigung) oder E-Mails an Ihre Gäste senden","Change the automatical eMail notifications to your guests or send eMails to your guests","NULL","NULL","Automatische e-mail antwoorden aan uw gast aanpassen (b.v. reserveringsbevestiging) of e-mails aan uw gasten versturen","NULL"
"Hiermit beenden Sie Ihre Sitzung","Log out from the Rezervi webinterface","NULL","NULL","Afmelden van de Rezervi webinterface","NULL"
"Ändern der zur Auswahl stehenden Sprachen ihres Belegungsplanes","Change the languages of your availability overview","NULL","NULL","Taalkeuzes voor het reserveringsoverzicht aanpassen","NULL"
"Ändern der Standard-Framegrößen des Belegungsplanes","Change the default frame size of your availability overview","NULL","NULL","Frame-groottes voor het reserveringsoverzicht aanpassen","NULL"
"Frames","frames","NULL","NULL","frames","NULL"
"relativ","relative","NULL","NULL","relatief"
"Ändern der Framegrößen","Change the frame sizes","NULL","NULL","Frame-grootte aanpassen"
"Belegungsplan links oder oben","Avalability overview left or top","NULL","NULL"
"Belegungsplan rechts oder unten","Avalability overview right or bottom","NULL","NULL"
"Webinterface links","Webinterface left","NULL","NULL","Webinterface links"
"Webinterface rechts","Webinterface right","NULL","NULL","Webinterface rechts"
"Die Framegrößen wurden erfolgreich geändert","The frame sizes were changed successful","NULL","NULL","De frame-groottes zijn met succes aangepast"
"Ändern der Standard-Ansicht ihres Belegungsplanes","Change the default view of your availability overview","NULL","NULL","Standaard weergave voor het reserveringsoverzicht aanpassen","NULL"
"Sprachen","languages","NULL","NULL","Talen","NULL"
"Standard-Sprache","default language","NULL","NULL","standaard taal","NULL"
"Ansicht","overview","NULL","NULL","Overzich","NULL"
"Markieren sie die Sprachen, die auf ihrer Website zur Auswahl angeboten werden sollen","Mark the languages that should be shown on your availability overview","NULL","NULL","Selecteer de talen welke u in het reserveringsoverzicht wilt tonen","NULL"
"Ändern der angezeigten Sprachen","Change the available languages","NULL","NULL","Aanpassen welke talen getoont kunnen worden","NULL"
"Estnisch","Estonian","NULL","NULL","Estoniaans","NULL"
"Die angezeigten Sprachen wurden erfolgreich geändert!","The shown languages are changed successful!","NULL","NULL","De getoonde talen zijn met succes aangepast!","NULL"
"Sie müssen mindestens eine Sprache auswählen!","You have to select at least one language!","NULL","NULL","Minstens één taal moet geselecteerd zijn!","NULL"
"Diverse Einstellungen von Rezervi ändern","Change some settings of Rezervi","NULL","NULL","Overige instellingen van Rezervi aanpassen","NULL"
"Ändern der Standard-Sprache","Change the default languages","NULL","NULL","Standaard taal aanpassen","NULL"
"Bitte wählen sie die Standard-Sprache ihres Belegungsplanes","Please select the default language of your availability overview","NULL","NULL","Standaard taal voor het reserveringsoverzicht selecteren","NULL"
"Bitte wählen sie die Standard-Sprache ihres Webinterfaces","Please select the default language of your webinterface","NULL","NULL","Standaard taal voor de webinterface selecteren","NULL"
"Es werden hier nur Sprachen angeboten die unter dem Menüpunkt 'Sprachen' ausgewählt wurden","Here you can find only these languages which you have selected in the menu 'languages'","NULL","NULL","Alleen die talen worden getoont, welke in het menu 'Talen' zijn geselecteerd","NULL"
"Die Standard-Sprache wurde erfolgreich geändert!","The default language is changed successful","NULL","NULL","De standaard taal is met succes aangepast","NULL"
"Zur ausgewählten Sprache wechseln","Change to your selected language","NULL","NULL","Omschakelen naar de geselecteerde taal","NULL"
"Buchungsanfrage aus dem Rezervi Buchungssystem","Booking request from the Rezervi booking system","NULL","NULL","Reserveringsaanvraag vanuit het Rezervi Reserveringssysteem","NULL"
"Die Anfrage wurde in estonischer Sprache gestellt","The booking request was done in Estonian","NULL","NULL","De aanvraag is in het estoniaans gemaakt","NULL"
